id,publicDate,source,coAuthorship,citationCount,refCount,Class
201800150,01/12/2018,1,3,16,34,['MEDI']
201800186,01/12/2018,1,4,49,76,"['IMMU', 'BIOC']"
201800172,01/12/2018,1,5,33,30,"['ENGI', 'ENER']"
201800175,01/12/2018,1,5,10,63,"['BIOC', 'CHEM', 'CENG', 'ENGI', 'MATE']"
201800181,01/12/2018,1,2,55,57,"['EART', 'COMP']"
201800188,01/12/2018,1,3,3,47,"['BIOC', 'VETE']"
201800143,01/12/2018,1,13,5,67,['MULT']
201800144,01/12/2018,1,8,20,90,['MULT']
201800110,01/12/2018,1,2300,33,39,['PHYS']
201800322,01/11/2018,1,4,,18,['MEDI']
201800325,01/11/2018,1,4,,25,['MEDI']
201800117,01/12/2018,1,4,63,141,['MEDI']
201800128,01/12/2018,1,10,21,61,"['IMMU', 'MEDI', 'PHAR']"
201800313,01/11/2018,1,3,3,37,['MULT']
201800121,01/12/2018,1,7,1,39,['MULT']
201800126,01/12/2018,1,3,5,41,['MEDI']
201800314,01/11/2018,1,4,7,29,['MULT']
201800119,01/12/2018,1,3,17,59,['PHYS']
201800145,01/12/2018,1,2,2,10,['MATH']
201800189,01/12/2018,1,6,9,40,"['IMMU', 'MEDI']"
201800142,01/12/2018,1,14,26,44,['MEDI']
201800180,01/12/2018,1,6,10,41,"['MEDI', 'NEUR']"
201800174,01/12/2018,1,8,10,27,['HEAL']
201800173,01/12/2018,1,2,18,39,"['ENVI', 'PHAR']"
201800187,01/12/2018,1,16,6,22,"['MEDI', 'BIOC']"
201800315,01/11/2018,1,4,5,19,['MULT']
201800127,01/12/2018,1,39,149,158,"['PHYS', 'EART']"
201800118,01/12/2018,1,2305,23,42,['PHYS']
201800120,01/12/2018,1,6,27,34,"['MEDI', 'BIOC']"
201800312,01/11/2018,1,4,3,31,['MULT']
201800116,01/12/2018,1,3,6,48,['DENT']
201800324,01/11/2018,1,6,,12,['MEDI']
201800129,01/12/2018,1,7,10,135,"['BIOC', 'MEDI']"
201800323,01/11/2018,1,2,,12,['MEDI']
201800111,01/12/2018,1,2297,38,54,['PHYS']
201800097,01/12/2018,1,2,5,20,['MATH']
201800251,30/11/2018,1,17,10,29,"['ENVI', 'AGRI']"
201800063,04/12/2018,1,2,3,17,['ENGI']
201800269,22/11/2018,1,4,29,57,['BUSI']
201800064,04/12/2018,1,5,8,44,['ENGI']
201800256,29/11/2018,1,2,11,58,"['SOCI', 'ENER', 'ENVI']"
201800090,01/12/2018,1,3,3,14,['COMP']
201800099,01/12/2018,1,4,3,18,['MULT']
201800052,07/12/2018,1,1,3,57,['SOCI']
201800260,28/11/2018,1,2,3,5,"['COMP', 'ENGI']"
201800294,05/11/2018,1,3,3,10,['COMP']
201800258,28/11/2018,1,2,21,75,"['MEDI', 'BIOC']"
201800293,06/11/2018,1,1,27,65,"['BUSI', 'SOCI']"
201800267,26/11/2018,1,4,0,18,"['CHEM', 'MATE', 'ENGI']"
201800055,06/12/2018,1,4,20,33,['MEDI']
201800001,31/12/2018,1,2,1,4,"['ENGI', 'MATE']"
201800233,01/12/2018,1,2,12,18,['MULT']
201800234,01/12/2018,1,2,30,55,"['NEUR', 'MEDI']"
201800006,30/12/2018,1,6,14,20,['BIOC']
201800039,14/12/2018,1,2,4,11,['COMP']
201800202,01/12/2018,1,5,59,64,"['CHEM', 'MATE']"
201800030,19/12/2018,1,3,0,6,['PHYS']
201800037,15/12/2018,1,4,20,32,['AGRI']
201800205,01/12/2018,1,3,11,38,"['BIOC', 'IMMU']"
201800008,27/12/2018,1,3,34,20,"['DECI', 'ENGI', 'COMP']"
201800259,28/11/2018,1,2,6,6,"['COMP', 'ENGI']"
201800054,06/12/2018,1,3,2,27,['MEDI']
201800266,26/11/2018,1,11,1,13,"['ENER', 'ENGI', 'MATE']"
201800292,06/11/2018,1,3,3,12,"['MATE', 'ENGI']"
201800098,01/12/2018,1,8,10,71,['MULT']
201800295,05/11/2018,1,2,6,34,['COMP']
201800261,28/11/2018,1,2,8,16,"['COMP', 'ENGI']"
201800053,06/12/2018,1,4,5,24,['MEDI']
201800268,26/11/2018,1,6,16,72,"['CHEM', 'BIOC', 'PHAR', 'MEDI']"
201800091,01/12/2018,1,2,7,8,['COMP']
201800257,28/11/2018,1,5,16,48,"['MEDI', 'BIOC']"
201800065,04/12/2018,1,4,7,32,['ENGI']
201800062,04/12/2018,1,2,0,21,['ENGI']
201800250,01/12/2018,1,2,1,40,['ECON']
201800096,01/12/2018,1,2,,19,['AGRI']
201800204,01/12/2018,1,3,19,35,"['PHYS', 'ENGI']"
201800036,15/12/2018,1,6,1,,"['MATE', 'PHYS', 'CHEM']"
201800009,26/12/2018,1,2,3,36,"['MATE', 'PHYS', 'CHEM']"
201800031,19/12/2018,1,2,1,9,['PHYS']
201800203,01/12/2018,1,7,8,58,['BIOC']
201800007,28/12/2018,1,3,0,111,['MEDI']
201800235,01/12/2018,1,12,35,51,['MULT']
201800038,14/12/2018,1,2,3,24,['COMP']
201800232,01/12/2018,1,3,12,56,['AGRI']
201800000,31/12/2018,1,2,1,76,['MEDI']
201900136,01/12/2019,1,2299,43,46,['PHYS']
201900109,01/12/2019,1,4,,42,['VETE']
201900131,01/12/2019,1,7,8,33,"['MEDI', 'BIOC']"
201900107,01/12/2019,1,4,,31,['VETE']
201900138,01/12/2019,1,6,12,43,"['CENG', 'CHEM']"
201900100,01/12/2019,1,3,2,9,"['BUSI', 'COMP', 'DECI', 'PHYS']"
201900154,01/12/2019,1,15,58,,['MEDI']
201900198,01/12/2019,1,84,32,24,['MEDI']
201900153,01/12/2019,1,6,10,29,['MEDI']
201900191,01/12/2019,1,4,5,26,['MEDI']
201900165,01/12/2019,1,3,0,14,['MEDI']
201900162,01/12/2019,1,4,42,21,"['AGRI', 'NURS']"
